id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id,presencia,datetime
627470889,SMM09557_20231009_185000.wav,P04_SMM09557,2023,10,9,18,50,Theristicus melanopis,Common Song,19.21066667,25.46133333,796.875,2390.625,12000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/10/09/r99jtgaba81p/e14d5e79-9e3c-4617-9404-1b8e784b7ccf.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1729634197&Signature=47k%2B%2BDU0MFlagTDUYu1DGGxnCdo%3D,0.308459501,48814,1,2023-10-09 18:50:00
627472690,SMM09721_20231003_111000.wav,P01_SMM09721,2023,10,3,11,10,Theristicus melanopis,Common Song,38.80533333,45.056,796.875,2390.625,12000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/10/03/neubj87gtoi0/df91f696-89f7-45e7-806f-6c758e6b8142.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1729634197&Signature=E2X8AVJSR12MBOSXZEwEUgGNWS0%3D,0.441861727,48806,1,2023-10-03 11:10:00
627472802,SMM09499_20230929_195500.wav,P03_SMM09499,2023,9,29,19,55,Theristicus melanopis,Common Song,11.36,17.61066667,796.875,2390.625,12000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/09/29/f9tjikyg1wna/b21db244-8337-4ed3-8cc4-248e07fe9abb.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1729634197&Signature=nzNYec%2FJoclsNb%2BTFyeTr7RFYEk%3D,0.321299556,48817,1,2023-09-29 19:55:00
627472819,SMM09261_20230928_160500.wav,P02_SMM09261,2023,9,28,18,5,Theristicus melanopis,Common Song,30.784,37.03466667,796.875,2390.625,12000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/09/28/4luwi7o4g5qb/ffbb224f-3e0b-4cf3-8e7c-826f3bf3ac67.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1729634197&Signature=hQeucOKCrUHxHMlLr%2FKowTcZUSs%3D,0.335423593,49108,1,2023-09-28 18:05:00
627472873,SMM09499_20230928_160500.wav,P03_SMM09499,2023,9,28,16,5,Theristicus melanopis,Common Song,7.786666667,14.03733333,796.875,2390.625,12000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/09/28/f9tjikyg1wna/4b0eeef8-a8c1-4245-bcdc-771a4a168a4d.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1729634197&Signature=P0BOvZ8HZVjhM1j178Q15MoBmgg%3D,0.366723361,48817,1,2023-09-28 16:05:00
627488395,SMM09359_20231012_191000.wav,P13_SMM09539,2023,10,12,19,10,Theristicus melanopis,Common Song,9.568,15.81866667,796.875,2390.625,12000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/10/12/0foem4rvxgcc/ef66ea9f-1858-491d-b69c-5b17a5810b3c.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1729633569&Signature=g7Bvoz5E4fK%2F0QOOXNYgqJ62XAc%3D,0.307279006,48815,1,2023-10-12 19:10:00
627488397,SMM09396_20231002_155000.wav,P19_SMM09396,2023,10,2,15,50,Theristicus melanopis,Common Song,16.01066667,22.26133333,796.875,2390.625,12000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/10/02/5uisde5fiyfh/c12907a5-1400-4115-9355-f78d9bb36b71.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1729633569&Signature=080D8ZOeRs3sTw%2B0h7ax9iu07es%3D,0.409517486,48799,1,2023-10-02 15:50:00
627488400,SMM09359_20231007_185000.wav,P13_SMM09539,2023,10,7,18,50,Theristicus melanopis,Common Song,26.31466667,32.56533333,796.875,2390.625,12000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/10/07/0foem4rvxgcc/6ed0e46c-9c84-42d3-a50e-5fea6bf9c047.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1729633569&Signature=AwbY1LwWX9d1HigXxwesSZ0rxtY%3D,0.44350385,48815,1,2023-10-07 18:50:00
627488401,SMM09359_20231003_191000.wav,P13_SMM09539,2023,10,3,19,10,Theristicus melanopis,Common Song,48.02133333,54.272,796.875,2390.625,12000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/10/03/0foem4rvxgcc/e586851b-5494-4f44-aca8-46f29d8ecbbb.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1729633569&Signature=u%2BfxJPSQjoJ07KAgqZ2i6%2FaY%2BfU%3D,0.404128448,48815,1,2023-10-03 19:10:00
627488429,SMM09396_20231001_143000.wav,P19_SMM09396,2023,10,1,14,30,Theristicus melanopis,Common Song,43.05066667,49.30133333,796.875,2390.625,12000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/10/01/5uisde5fiyfh/64af11d4-f4ae-4c83-b86d-727209a366ce.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1729633569&Signature=Fqo8WLj4jvvBBdmC%2FoYOy%2BPMA%2Bw%3D,0.35623294,48799,1,2023-10-01 14:30:00
627488437,SMM09360_20231010_100500.wav,P23_SMM09360,2023,10,10,10,5,Theristicus melanopis,Common Song,42.976,49.22666667,796.875,2390.625,12000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/10/10/b1s4rz5gv1o7/83a34b16-eeaf-4a0a-b1e7-445ea78b3fe8.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1729633569&Signature=nN7AlV7QbqJD2eCTGCCbFonpc7E%3D,0.323306045,48816,1,2023-10-10 10:05:00
627488439,SMM09360_20231010_071500.wav,P23_SMM09360,2023,10,10,7,15,Theristicus melanopis,Common Song,30.13333333,36.384,796.875,2390.625,12000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/10/10/b1s4rz5gv1o7/c0530615-78de-4954-a9ab-c65062e8054c.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1729633569&Signature=SQQvh7fDNjjKivT39RCsHe2mCtU%3D,0.313536447,48816,1,2023-10-10 07:15:00
627488440,SMM09360_20231010_073500.wav,P23_SMM09360,2023,10,10,7,35,Theristicus melanopis,Common Song,18.00533333,24.256,796.875,2390.625,12000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/10/10/b1s4rz5gv1o7/f1b4df97-6a78-4c61-acf0-cefe714c27b3.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1729633569&Signature=D5rNpo4rWhrrUs%2BUryLmME0x28o%3D,0.360689233,48816,1,2023-10-10 07:35:00
627488441,SMM09360_20231013_064500.wav,P23_SMM09360,2023,10,13,6,45,Theristicus melanopis,Common Song,37.088,43.33866667,796.875,2390.625,12000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/10/13/b1s4rz5gv1o7/73c3f2c7-b572-41f6-afed-0d798164210a.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1729633569&Signature=EmswF9Bi5b8wGaRWCT3miaNDl%2FM%3D,0.402268412,48816,1,2023-10-13 06:45:00
627488442,SMM09360_20231012_195500.wav,P23_SMM09360,2023,10,12,19,55,Theristicus melanopis,Common Song,16.62933333,22.88,796.875,2390.625,12000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/10/12/b1s4rz5gv1o7/34d42504-2789-47c6-a5aa-aafe98e6fcdc.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1729633569&Signature=Cu74p%2FV4KB%2BdCy4OJCThh0wTy%2FY%3D,0.316571585,48816,1,2023-10-12 19:55:00
627488443,SMM09360_20231012_104000.wav,P23_SMM09360,2023,10,12,10,40,Theristicus melanopis,Common Song,46.44266667,52.69333333,796.875,2390.625,12000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/10/12/b1s4rz5gv1o7/654e4192-8f1c-42f5-86b9-7a60faea4c44.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1729633569&Signature=XaZkExkn4DZ5VZVc0HSO%2Fqie8sk%3D,0.335999559,48816,1,2023-10-12 10:40:00
627488444,SMM09360_20231012_101000.wav,P23_SMM09360,2023,10,12,10,10,Theristicus melanopis,Common Song,18.784,25.03466667,796.875,2390.625,12000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/10/12/b1s4rz5gv1o7/8c68315c-ce20-4846-9a4e-68976f2e0d6f.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1729633569&Signature=7OqhN9Q3Sac4I%2FGyr2brkUOBTPM%3D,0.316670025,48816,1,2023-10-12 10:10:00
627488445,SMM09360_20231012_105000.wav,P23_SMM09360,2023,10,12,10,50,Theristicus melanopis,Common Song,38.944,45.19466667,796.875,2390.625,12000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/10/12/b1s4rz5gv1o7/957286b5-3fa5-49c9-b1ee-5c825f646065.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1729633569&Signature=LDk%2FnT%2FiCcdT3%2FFuQf6kLaDu%2BZs%3D,0.317722415,48816,1,2023-10-12 10:50:00
627488484,SMM09360_20231007_181000.wav,P23_SMM09360,2023,10,7,18,10,Theristicus melanopis,Common Song,40.288,46.53866667,796.875,2390.625,12000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/10/07/b1s4rz5gv1o7/765f4bc2-fb89-4668-a546-aaa746fa5552.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1729633569&Signature=pZ%2FPwQ7UTV%2BRQEz434krlzmQQAA%3D,0.321871441,48816,1,2023-10-07 18:10:00
627488485,SMM09360_20231007_175000.wav,P23_SMM09360,2023,10,7,17,50,Theristicus melanopis,Common Song,34.19733333,40.448,796.875,2390.625,12000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/10/07/b1s4rz5gv1o7/b72bf874-69de-4319-9650-4a288b4796e3.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1729633569&Signature=WCQrveJXzPP5pG1Drn%2BTnHpQlm0%3D,0.301800859,48816,1,2023-10-07 17:50:00
627488490,SMM09360_20231007_175500.wav,P23_SMM09360,2023,10,7,17,55,Theristicus melanopis,Common Song,29.088,35.33866667,796.875,2390.625,12000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/10/07/b1s4rz5gv1o7/55d2efc2-0c08-47b2-99f7-b957cd7f7ae3.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1729633569&Signature=exfuy5xf%2BO3SCho3%2BMToLV1rUPk%3D,0.310113975,48816,1,2023-10-07 17:55:00
